2025/10/12 05:10:01.028393 [INFO] Log Publish not set, skipping...
2025/10/12 05:30:01.047892 [INFO] Log Publish not set, skipping...
2025/10/12 05:50:01.065873 [INFO] Log Publish not set, skipping...
2025/10/12 06:10:01.197098 [INFO] Log Publish not set, skipping...
2025/10/12 06:30:01.213549 [INFO] Log Publish not set, skipping...
2025/10/12 06:50:01.233336 [INFO] Log Publish not set, skipping...
2025/10/12 07:10:01.511790 [INFO] Log Publish not set, skipping...
2025/10/12 07:30:01.548403 [INFO] Log Publish not set, skipping...
2025/10/12 07:50:01.566094 [INFO] Log Publish not set, skipping...
2025/10/12 08:10:01.796694 [INFO] Log Publish not set, skipping...
2025/10/12 08:30:01.821132 [INFO] Log Publish not set, skipping...
2025/10/12 08:50:01.843448 [INFO] Log Publish not set, skipping...
2025/10/12 09:10:01.088997 [INFO] Log Publish not set, skipping...
2025/10/12 09:30:01.104119 [INFO] Log Publish not set, skipping...
2025/10/12 09:50:01.118841 [INFO] Log Publish not set, skipping...
2025/10/12 10:10:01.302715 [INFO] Log Publish not set, skipping...
2025/10/12 10:30:01.339590 [INFO] Log Publish not set, skipping...
2025/10/12 10:50:01.363373 [INFO] Log Publish not set, skipping...
2025/10/12 11:10:01.598007 [INFO] Log Publish not set, skipping...
2025/10/12 11:30:01.650056 [INFO] Log Publish not set, skipping...
2025/10/12 11:50:01.694926 [INFO] Log Publish not set, skipping...
2025/10/12 12:10:01.053954 [INFO] Log Publish not set, skipping...
2025/10/12 12:30:01.067612 [INFO] Log Publish not set, skipping...
2025/10/12 12:50:01.082346 [INFO] Log Publish not set, skipping...
2025/10/12 13:10:01.196462 [INFO] Log Publish not set, skipping...
2025/10/12 13:30:01.211884 [INFO] Log Publish not set, skipping...
2025/10/12 13:50:01.227032 [INFO] Log Publish not set, skipping...
2025/10/12 14:10:01.523592 [INFO] Log Publish not set, skipping...
2025/10/12 14:30:01.544882 [INFO] Log Publish not set, skipping...
2025/10/12 14:50:01.591078 [INFO] Log Publish not set, skipping...
2025/10/12 15:10:01.822279 [INFO] Log Publish not set, skipping...
2025/10/12 15:30:01.847899 [INFO] Log Publish not set, skipping...
2025/10/12 15:50:01.904646 [INFO] Log Publish not set, skipping...
2025/10/12 16:10:01.154523 [INFO] Log Publish not set, skipping...
2025/10/12 16:30:01.170371 [INFO] Log Publish not set, skipping...
2025/10/12 16:50:01.185722 [INFO] Log Publish not set, skipping...
2025/10/12 17:10:01.412681 [INFO] Log Publish not set, skipping...
2025/10/12 17:30:01.438996 [INFO] Log Publish not set, skipping...
2025/10/12 17:50:01.459283 [INFO] Log Publish not set, skipping...
2025/10/12 18:10:01.756116 [INFO] Log Publish not set, skipping...
2025/10/12 18:30:01.793023 [INFO] Log Publish not set, skipping...
2025/10/12 18:50:01.834613 [INFO] Log Publish not set, skipping...
2025/10/12 19:10:01.072799 [INFO] Log Publish not set, skipping...
2025/10/12 19:30:01.089925 [INFO] Log Publish not set, skipping...
2025/10/12 19:50:01.106211 [INFO] Log Publish not set, skipping...
2025/10/12 20:10:01.243287 [INFO] Log Publish not set, skipping...
2025/10/12 20:30:01.314814 [INFO] Log Publish not set, skipping...
2025/10/12 20:50:01.353042 [INFO] Log Publish not set, skipping...
2025/10/12 21:10:01.678168 [INFO] Log Publish not set, skipping...
2025/10/12 21:30:01.708683 [INFO] Log Publish not set, skipping...
2025/10/12 21:50:01.748171 [INFO] Log Publish not set, skipping...
2025/10/12 22:10:01.030312 [INFO] Log Publish not set, skipping...
2025/10/12 22:30:01.045686 [INFO] Log Publish not set, skipping...
2025/10/12 22:50:01.076150 [INFO] Log Publish not set, skipping...
2025/10/12 23:10:01.212946 [INFO] Log Publish not set, skipping...
