2025/10/17 13:50:01.946086 [INFO] Log Publish not set, skipping...
2025/10/17 14:10:01.450289 [INFO] Log Publish not set, skipping...
2025/10/17 14:30:01.512346 [INFO] Log Publish not set, skipping...
2025/10/17 14:50:01.561219 [INFO] Log Publish not set, skipping...
2025/10/17 15:10:01.893960 [INFO] Log Publish not set, skipping...
2025/10/17 15:30:01.943367 [INFO] Log Publish not set, skipping...
2025/10/17 15:50:01.977939 [INFO] Log Publish not set, skipping...
2025/10/17 16:10:01.357123 [INFO] Log Publish not set, skipping...
2025/10/17 16:30:01.402135 [INFO] Log Publish not set, skipping...
2025/10/17 16:50:01.441491 [INFO] Log Publish not set, skipping...
2025/10/17 17:10:01.926659 [INFO] Log Publish not set, skipping...
2025/10/17 17:30:01.972758 [INFO] Log Publish not set, skipping...
2025/10/17 17:50:02.050271 [INFO] Log Publish not set, skipping...
2025/10/17 18:10:01.252642 [INFO] Log Publish not set, skipping...
2025/10/17 18:30:01.287594 [INFO] Log Publish not set, skipping...
2025/10/17 18:50:01.318235 [INFO] Log Publish not set, skipping...
2025/10/17 19:10:01.614588 [INFO] Log Publish not set, skipping...
2025/10/17 19:30:01.668116 [INFO] Log Publish not set, skipping...
2025/10/17 19:50:01.701669 [INFO] Log Publish not set, skipping...
2025/10/17 20:10:01.150927 [INFO] Log Publish not set, skipping...
2025/10/17 20:30:01.189391 [INFO] Log Publish not set, skipping...
2025/10/17 20:50:01.225372 [INFO] Log Publish not set, skipping...
2025/10/17 21:10:01.704331 [INFO] Log Publish not set, skipping...
2025/10/17 21:30:01.796876 [INFO] Log Publish not set, skipping...
2025/10/17 21:50:01.845792 [INFO] Log Publish not set, skipping...
2025/10/17 22:10:01.299563 [INFO] Log Publish not set, skipping...
2025/10/17 22:30:01.324534 [INFO] Log Publish not set, skipping...
2025/10/17 22:50:01.408978 [INFO] Log Publish not set, skipping...
2025/10/17 23:10:01.811436 [INFO] Log Publish not set, skipping...
2025/10/17 23:30:01.855974 [INFO] Log Publish not set, skipping...
2025/10/17 23:50:01.896277 [INFO] Log Publish not set, skipping...
2025/10/18 00:10:01.450746 [INFO] Log Publish not set, skipping...
2025/10/18 00:30:01.539516 [INFO] Log Publish not set, skipping...
2025/10/18 00:50:01.583107 [INFO] Log Publish not set, skipping...
2025/10/18 01:10:01.986848 [INFO] Log Publish not set, skipping...
2025/10/18 01:30:02.073900 [INFO] Log Publish not set, skipping...
2025/10/18 01:50:01.098226 [INFO] Log Publish not set, skipping...
2025/10/18 02:10:01.256483 [INFO] Log Publish not set, skipping...
2025/10/18 02:30:01.290899 [INFO] Log Publish not set, skipping...
2025/10/18 02:50:01.317039 [INFO] Log Publish not set, skipping...
2025/10/18 03:10:01.740339 [INFO] Log Publish not set, skipping...
2025/10/18 03:30:01.813107 [INFO] Log Publish not set, skipping...
2025/10/18 03:50:01.868228 [INFO] Log Publish not set, skipping...
2025/10/18 04:10:01.385598 [INFO] Log Publish not set, skipping...
2025/10/18 04:30:01.436757 [INFO] Log Publish not set, skipping...
2025/10/18 04:50:01.513277 [INFO] Log Publish not set, skipping...
2025/10/18 05:10:01.972324 [INFO] Log Publish not set, skipping...
2025/10/18 05:30:02.038668 [INFO] Log Publish not set, skipping...
2025/10/18 05:50:01.062016 [INFO] Log Publish not set, skipping...
